=== batch 21 ===
  OK: bn.h :: BN_nist_mod_521
  OK: conf.h :: NCONF_get_section
  OK: conf.h.in :: NCONF_get_section
  OK: conftypes.h :: conf_method_st::name
  OK: core.h :: ossl_item_st::ptr
  OK: core.h :: algorithm_description
  OK: core.h :: data_size/return_size
  OK: core.h :: OSSL_provider_init_fn
  OK: core.h :: OSSL_CALLBACK/OSSL_INOUT_CALLBACK
  OK: core.h :: OSSL_PASSPHRASE_CALLBACK
  OK: crypto.h :: OPENSSL_strlcat
  OK: crypto.h.in :: OPENSSL_strlcat
  OK: crypto.h :: OPENSSL_version_major
  OK: crypto.h.in :: OPENSSL_version_major
  OK: crypto.h :: OPENSSL_issetugid
  OK: crypto.h.in :: OPENSSL_issetugid
  OK: crypto.h :: CRYPTO_EX_free
  OK: crypto.h.in :: CRYPTO_EX_free
  OK: crypto.h :: CRYPTO_free_ex_index
  OK: crypto.h.in :: CRYPTO_free_ex_index
  OK: crypto.h :: CRYPTO_realloc_fn
  OK: crypto.h.in :: CRYPTO_realloc_fn
  OK: crypto.h :: CRYPTO_malloc
  OK: crypto.h.in :: CRYPTO_malloc
  OK: crypto.h :: CRYPTO_secure_malloc
  OK: crypto.h.in :: CRYPTO_secure_malloc
  OK: crypto.h :: OPENSSL_gmtime_diff
  OK: crypto.h.in :: OPENSSL_gmtime_diff
  OK: crypto.h :: CRYPTO_ONCE_win
  OK: crypto.h.in :: CRYPTO_ONCE_win
  OK: crypto.h :: CRYPTO_ONCE_pthread
  OK: crypto.h.in :: CRYPTO_ONCE_pthread
  OK: crypto.h :: CRYPTO_ONCE_nothread
  OK: crypto.h.in :: CRYPTO_ONCE_nothread
  OK: crypto.h :: OSSL_sleep
  OK: crypto.h.in :: OSSL_sleep
  OK: cryptoerr_legacy.h :: ERR_load_BIO_strings
  OK: cryptoerr_legacy.h :: ERR_load_CONF_strings
  OK: cryptoerr_legacy.h :: ERR_load_PEM/PKCS12_strings
  OK: dh.h :: DH_get_length
  OK: dsa.h :: DSA_get0_p
  OK: err.h :: ERR_FATAL_ERROR
  OK: err.h.in :: ERR_FATAL_ERROR
  OK: evp.h :: EVP_MD_meth_set_ctrl
  OK: evp.h :: EVP_CIPHER_CTX_ctrl
  OK: evp.h :: PKCS5_PBE_keyivgen
  OK: evp.h :: EVP_PKEY_meth_copy
  OK: evp.h :: EVP_KEM_get0_provider
  OK: evp.h :: EVP_PKEY_meth_set_param_check
  OK: kdf.h :: EVP_KDF_free/fetch
  OK: kdf.h :: EVP_KDF_CTX_new
  OK: kdf.h :: EVP_KDF_is_a
  OK: kdf.h :: EVP_KDF_get0_provider/CTX_kdf
  OK: kdf.h :: EVP_KDF_derive
  OK: kdf.h :: EVP_KDF_CTX_get_params
  OK: kdf.h :: EVP_KDF_gettable_params
  OK: kdf.h :: EVP_KDF_settable_ctx_params
  OK: kdf.h :: EVP_KDF_CTX_settable_params
  OK: kdf.h :: EVP_PKEY_CTX_add1_hkdf_info
  OK: params.h :: OSSL_PARAM_locate_const
  OK: params.h :: OSSL_PARAM_merge
  OK: rc2.h :: RC2_KEY
  OK: rc2.h :: RC2_* encryptors
  OK: rsa.h :: EVP_PKEY_CTX_set_rsa_pss_keygen_md_name
  OK: ssl.h :: SSL_CTX_set_cert_cb
  OK: ssl.h.in :: SSL_CTX_set_cert_cb
  OK: ssl.h :: TLSv1_2_client_method
  OK: ssl.h.in :: TLSv1_2_client_method
  OK: ssl.h :: SSL_get_info_callback
  OK: ssl.h.in :: SSL_get_info_callback
  OK: ssl.h :: SSL_set_session_ticket_ext_cb
  OK: ssl.h.in :: SSL_set_session_ticket_ext_cb
  OK: stack.h :: OPENSSL_sk_copyfunc
  OK: stack.h :: OPENSSL_sk_value
  OK: stack.h :: OPENSSL_sk_new/new_null
  OK: stack.h :: OPENSSL_sk_reserve/free/pop_free/deep_copy
  OK: stack.h :: OPENSSL_sk_insert
  OK: stack.h :: OPENSSL_sk_delete_ptr
  OK: stack.h :: OPENSSL_sk_find_ex
  OK: stack.h :: OPENSSL_sk_pop/zero
  OK: stack.h :: OPENSSL_sk_is_sorted
  OK: types.h :: ASN1_PRINTABLESTRING
  OK: types.h :: ASN1_T61STRING
  OK: types.h :: ASN1_UNIVERSALSTRING
  OK: types.h :: ASN1_UTCTIME/TIME/GENERALIZEDTIME
  OK: types.h :: ASN1_UTF8STRING
  OK: types.h :: ASN1_BOOLEAN/NULL
  OK: types.h :: BIO
  OK: types.h :: BN_MONT_CTX
  OK: types.h :: BN_GENCB
  OK: types.h :: STACK_OF(BIGNUM*)
  OK: types.h :: EVP_CIPHER_CTX/EVP_MD
  OK: types.h :: EVP_PKEY_METHOD
  OK: types.h :: EVP_KDF
  OK: types.h :: EVP_RAND_CTX
  OK: types.h :: EVP_KEYEXCH
  OK: types.h :: EVP_SIGNATURE
  OK: types.h :: EVP_ASYM_CIPHER
  OK: types.h :: DH
  OK: types.h :: DSA/DSA_METHOD
  OK: types.h :: X509_NAME/X509_PUBKEY
  OK: types.h :: X509_STORE_CTX
  OK: types.h :: X509_LOOKUP_METHOD/X509_VERIFY_PARAM
  OK: types.h :: X509V3_CTX
  OK: types.h :: UI_METHOD
  OK: types.h :: X509_POLICY_NODE/LEVEL
  OK: types.h :: DIST_POINT
  OK: types.h :: CRYPTO_EX_DATA
  OK: types.h :: SCT_CTX
  OK: types.h :: CTLOG_STORE
  OK: types.h :: OSSL_DISPATCH
  OK: types.h :: OSSL_PARAM
  OK: types.h :: OSSL_DECODER_CTX
  OK: x509.h :: X509_info_st::enc_cipher
  OK: x509.h.in :: X509_info_st::enc_cipher
  OK: x509.h :: X509_signature_dump
  OK: x509.h.in :: X509_signature_dump
  OK: x509.h :: i2d_EC_PUBKEY_fp
  OK: x509.h.in :: i2d_EC_PUBKEY_fp
  OK: x509.h :: i2d_PKCS8_bio
  OK: x509.h.in :: i2d_PKCS8_bio
  OK: x509.h :: X509_CRL_set_issuer_name
  OK: x509.h.in :: X509_CRL_set_issuer_name
  OK: x509.h :: X509_CRL_get_nextUpdate
  OK: x509.h.in :: X509_CRL_get_nextUpdate
  OK: x509.h :: X509_ocspid_print
  OK: x509.h.in :: X509_ocspid_print
  OK: x509.h :: X509_REQ_print
  OK: x509.h.in :: X509_REQ_print
  OK: x509.h :: X509_NAME_ENTRY_get_object/data
  OK: x509.h.in :: X509_NAME_ENTRY_get_object/data
  OK: x509.h :: EVP_PKEY_get_attr_by_NID
  OK: x509.h.in :: EVP_PKEY_get_attr_by_NID
  OK: x509_vfy.h :: X509_OBJECT_get_type
  OK: x509_vfy.h.in :: X509_OBJECT_get_type
  OK: x509v3.h :: PROXY_POLICY_free
  OK: x509v3.h.in :: PROXY_POLICY_free

OK=219 MISS=0
